,median,median_perc,mean,std,min,max,median_over_std,names,genelist,limma
hsa:05217,0.00074579345,0.1841256750294353,0.00455630698820256,0.007189303611899073,0.0,0.04253349,False,Basal cell carcinoma,,
hsa:05215,6.39643525e-07,0.00015791878544767655,0.0008192742812724814,0.0018784280662669309,0.0,0.0120473765,False,Prostate cancer,,
hsa:05220,0.0,0.0,0.0004903844706080587,0.0010400633566190118,0.0,0.0059948307,False,Chronic myeloid leukemia,,
hsa:05133,3.3759062499999997e-06,0.0008334626928103747,0.00010982198988113555,0.00022539530790754346,0.0,0.0013203481,False,Pertussis,,
hsa:04370,8.0293352e-07,0.00019823273638801814,4.4409697117959714e-05,6.597486775983272e-05,0.0,0.00047198916,False,VEGF signaling pathway,,
hsa:03030,0.0,0.0,0.001777500724769395,0.0048894828213139575,0.0,0.038675994,False,DNA replication,,
hsa:04140,3.6646842e-06,0.0009047578147739245,0.00022106630962567028,0.00041956874827424876,0.0,0.0021933517,False,Autophagy - animal,,
hsa:00260,8.2717635e-05,0.02042179423969659,0.003149806075140845,0.011873896111840358,0.0,0.11875894,False,Glycine,,
hsa:00071,3.6753904e-05,0.009074010215518872,0.0014225606784829677,0.0037101734638918062,0.0,0.034195352,False,Fatty acid degradation,,
hsa:03266,2.5731662e-05,0.006352777213824108,0.0003545416809238279,0.0006618271527673339,0.0,0.004008433,False,Virion - Herpesvirus,,
hsa:04630,1.3612885e-07,3.360825493604261e-05,5.986969835576428e-05,0.00014792660832025446,0.0,0.000728337,False,JAK-STAT signaling pathway,,
hsa:00860,0.000300436025,0.0741733329868817,0.0015417359146672157,0.002912789534000411,0.0,0.025646761,False,Porphyrin metabolism,,
hsa:00062,3.2403144e-05,0.007999870154499208,0.0002866348506769232,0.0007898616600051222,0.0,0.009113672,False,Fatty acid elongation,,
hsa:04977,0.0,0.0,0.00030745078676139173,0.0007435551313179977,0.0,0.0067409193,False,Vitamin digestion and absorption,,
hsa:00130,4.0592350000000004e-05,0.010021667319257228,0.0014410559273915747,0.003575333397070823,0.0,0.0273263,False,Ubiquinone and other terpenoid-quinone biosynthesis,,
hsa:00730,6.7226835e-06,0.0016597338545233226,0.0008728060211699631,0.0025868237819975668,0.0,0.03740832,False,Thiamine metabolism,,
hsa:00830,0.000110532045,0.027288771975684314,0.0015390416158521977,0.0028564693311678643,0.0,0.020657688,False,Retinol metabolism,,
hsa:04621,7.32198695e-06,0.0018076932557204227,0.0016293644918791675,0.004077040095091039,0.0,0.021899745,False,NOD-like receptor signaling pathway,,
hsa:00750,0.0,0.0,0.0002724129299316851,0.0007968177159439711,0.0,0.008187147,False,Vitamin B6 metabolism,,
hsa:05120,0.0,0.0,0.00012812728332124728,0.0006120734858237902,0.0,0.0054493276,False,Epithelial cell signaling in Helicobacter pylori infection,,
hsa:05418,1.1983313e-05,0.002958507607185351,0.00018120963841767405,0.000326958731129969,0.0,0.0021971387,False,Fluid shear stress and atherosclerosis,,
hsa:05164,0.0,0.0,0.001289967394938468,0.0037704378380597732,0.0,0.014371118,False,Influenza A,,
hsa:03018,0.0,0.0,0.0010549216216842183,0.00457889564142446,0.0,0.03487938,False,RNA degradation,,
hsa:00470,2.85556635e-05,0.0070499825626665225,0.0001951566486670879,0.0005840437895692366,0.0,0.0081076315,False,D-Amino acid metabolism,,
hsa:04920,0.00030306024,0.07482121392267882,0.0029186582924686814,0.006577357598657756,0.0,0.046937175,False,Adipocytokine signaling pathway,,
hsa:05131,0.0,0.0,2.5352272517326028e-05,5.7035337780213934e-05,0.0,0.0003517972,False,Shigellosis,,
